# Source: https://github.com/Wal33D/dtc-database
# Commit: 04c43d72e7db7197658b6f72fe582c5076d9eee8
# License: MIT
# Extracted: 2026-03-11T10:18:36Z
# Rows: 9390
B0081	AUDI	Wiring issues, Control module problems, A problem with the airbag
P1140	CHRYSLER	HO2S Transition Time Ratio Bank 1 Sensor 2
P1140	FORD	Water In Fuel Condition
P1140	GM	HO2S Transition Time Ratio Bank 1 Sensor 2
P1140	GMC	HO2S Transition Time Ratio Bank 1 Sensor 2
P1140	KIA	Load Calculation Cross Check
P1140	LINCOLN	Water In Fuel Condition
P1140	MERCURY	Water In Fuel Condition
P1140	NISSAN	Intake Valve Timing Control Position Sensor Bank 1
P1140	OLDSMOBILE	HO2S Transition Time Ratio Bank 1 Sensor 2
P1140	OTHER	Water In Fuel Condition
P1140	SATURN	HO2S Transition Time Ratio Bank 1 Sensor 2
P1140	VOLKSWAGEN	Bank 2 Sensor 2 Resistance Too High
P1141	BUICK	HO2S Bank 1 Sensor 2 Average Voltage Level
P1141	CADILLAC	HO2S Bank 1 Sensor 2 Average Voltage Level
P1141	CHEVY	HO2S Bank 1 Sensor 2 Average Voltage Level
P1141	CHRYSLER	HO2S Bank 1 Sensor 2 Average Voltage Level
P1141	FORD	Fuel Restriction Indicator Circuit Malfunction
P1141	GM	HO2S Bank 1 Sensor 2 Average Voltage Level
P1141	GMC	HO2S Bank 1 Sensor 2 Average Voltage Level
P1141	LINCOLN	Fuel Restriction Indicator Circuit Malfunction
P1141	MAZDA	HO2S Bank 1 Sensor 2 Heater Circuit Low Input
P1141	MERCURY	Fuel Restriction Indicator Circuit Malfunction
P1141	OLDSMOBILE	HO2S Bank 1 Sensor 2 Average Voltage Level
P1141	OTHER	Fuel Restriction Indicator Circuit Malfunction
P1141	SATURN	HO2S Bank 1 Sensor 2 Average Voltage Level
P1141	SUBARU	Mass Air Flow Sensor Circuit High Input
P1141	VOLKSWAGEN	Load Calculation Cross Check Range Performance
P1142	FORD	Fuel Restriction Condition
P1142	LINCOLN	Fuel Restriction Condition
P1142	MAZDA	HO2S Bank 1 Sensor 2 Heater Circuit High Input
P1142	MERCURY	Fuel Restriction Condition
P1142	OTHER	Fuel Restriction Condition
P1142	SUBARU	Mass Air Flow Sensor Circuit Low Input
P1142	VOLKSWAGEN	Load Calculation Cross Check Lower Limit Exceeded
P1143	BUICK	HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143	CADILLAC	HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143	CHEVY	HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143	CHRYSLER	HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143	GM	HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143	GMC	HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143	JAGUAR	Air Assisted Injector Control Valve Range Performance
P1143	MAZDA	HO2S Bank 1 Sensor 3 Signal Below 0.45v AF Ratio Too Lean
P1143	OLDSMOBILE	HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143	OTHER	Air Assist Control Valve Range/Performance
P1143	SATURN	HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143	SUBARU	Pressure Sensor Circuit Low Input
P1143	VOLKSWAGEN	Load Calculation Cross Check Upper Limit Exceeded
P1144	BUICK	HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144	CADILLAC	HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144	CHEVY	HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144	CHRYSLER	HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144	GM	HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144	GMC	HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144	JAGUAR	Air Assisted Injector Control Valve Circuit
P1144	MAZDA	HO2S Bank 1 Sensor 3 Signal Above 0.45v AF Ratio Too Rich
P1144	OLDSMOBILE	HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144	OTHER	Air Assist Control Valve Circuit Malfunction
P1144	SATURN	HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144	SUBARU	Pressure Sensor Circuit High Input
P1144	VOLKSWAGEN	Mass Or Volume Air Flow Circuit Open/Short To Ground
P1145	BMW	Solenoid Valve Running Losses Control Circuit Electrical
P1145	BUICK	HO2S Cross Counts Bank 1 Sensor 3
P1145	CADILLAC	HO2S Cross Counts Bank 1 Sensor 3
P1145	CHEVY	HO2S Cross Counts Bank 1 Sensor 3
P1145	CHRYSLER	HO2S Cross Counts Bank 1 Sensor 3
P1145	GM	HO2S Cross Counts Bank 1 Sensor 3
P1145	GMC	HO2S Cross Counts Bank 1 Sensor 3
P1145	NISSAN	Intake Valve Timing Control Position Sensor Bank 2
P1145	OLDSMOBILE	HO2S Cross Counts Bank 1 Sensor 3
P1145	SATURN	HO2S Cross Counts Bank 1 Sensor 3
P1145	VOLKSWAGEN	Mass Or Volume Air Flow Circuit Short To B+
P1146	SUBARU	Pressure Sensor Circuit Range Performance Problem High Input
P1146	VOLKSWAGEN	Mass Or Volume Air Flow Circuit Power Supply Malfunction
P1147	VOLKSWAGEN	Oxygen Sensor Control Bank 2 System Too Lean
P1148	NISSAN	Closed Loop Control Bank 1
P1148	VOLKSWAGEN	Oxygen Sensor Control Bank 2 System Too Rich
P1149	VOLKSWAGEN	Oxygen Sensor Control Bank 1 Out Of Range
P1150	FORD	Lack of Upstream Heated Oxygen Sensor Switch Adaptive Fuel Limit Bank 2
P1150	LEXUS	Air/Fuel Ratio Sensor Circuit Range Performance Malfunction Bank 2 Sensor 1
P1150	LINCOLN	Lack of Upstream Heated Oxygen Sensor Switch Adaptive Fuel Limit Bank 2
P1150	MAZDA	HO2S Bank 2 Sensor 1 Not Switching Fuel Control Limit Reached
P1150	MERCURY	Lack of Upstream Heated Oxygen Sensor Switch Adaptive Fuel Limit Bank 2
P1150	OTHER	Lack Of HO2S21 Switch - Adaptive Fuel At Limit
P1150	SUBARU	Front Oxygen Sensor Heater Circuit High Input
P1150	TOYOTA	Air/Fuel Sensor Circuit Range Performance Bank 1 Sensor 2
P1150	VOLKSWAGEN	Oxygen Sensor Control Bank 2 Out Of Range
P1151	BMW	O2 Sensor Heater Circuit Signal Intermittent Bank 2 Sensor 1
P1151	FORD	Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1151	LINCOLN	Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1151	MAZDA	HO2S Bank 2 Sensor 1 Signal Below 0.45v AF Ratio Too Lean
P1151	MERCURY	Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1151	OTHER	Lack Of HO2S21 Switch - Sensor Indicates Lean
P1151	SUBARU	Rear Oxygen Sensor Heater Circuit High Input
P1151	VOLKSWAGEN	Bank 1 Long Term Fuel Trim Range 1 Lower Lean Limit Exceeded
P1152	BMW	O2 Sensor Heater Circuit Low Voltage Bank 2 Sensor 1
P1152	FORD	Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1152	LINCOLN	Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1152	MAZDA	HO2S Bank 2 Sensor 1 Signal Above 0.45v AF Ratio Too Rich
P1152	MERCURY	Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1152	OTHER	Lack Of HO2S21 Switch - Sensor Indicates Rich
P1152	VOLKSWAGEN	Bank 1 Long Term Fuel Trim Range 2 Lower Lean Limit Exceeded
P1153	BMW	O2 Sensor Heater Circuit High Voltage Bank 2 Sensor 1
P1153	BUICK	HO2S Insufficient Switching
P1153	CADILLAC	HO2S Insufficient Switching
P1153	CHEVY	HO2S Insufficient Switching
P1153	CHRYSLER	HO2S Insufficient Switching
P1153	FORD	Bank 2 Fuel Control Shifted Lean
P1153	GM	HO2S Insufficient Switching
P1153	GMC	HO2S Insufficient Switching
P1153	LEXUS	Air/Fuel Ratio Sensor Circuit Response Malfunction Bank 2 Sensor 1
P1153	LINCOLN	Bank 2 Fuel Control Shifted Lean
P1153	MAZDA	Bank 2 Fuel Control Shifted Lean FAOSC
P1153	MERCURY	Bank 2 Fuel Control Shifted Lean
P1153	OLDSMOBILE	HO2S Insufficient Switching
P1153	OTHER	Bank 2 Fuel Control Shifted Lean
P1153	SATURN	HO2S Insufficient Switching
P1153	TOYOTA	Air/Fuel Sensor Circuit Response Bank 1 Sensor 2
P1154	BUICK	HO2S Transition Time Ratio
P1154	CADILLAC	HO2S Transition Time Ratio
P1154	CHEVY	HO2S Transition Time Ratio
P1154	CHRYSLER	HO2S Transition Time Ratio
P1154	FORD	Bank 2 Fuel Control Shifted Rich
P1154	GM	HO2S Transition Time Ratio
P1154	GMC	HO2S Transition Time Ratio
P1154	LINCOLN	Bank 2 Fuel Control Shifted Rich
P1154	MAZDA	Bank 2 Fuel Control Shifted Rich FAOSC
P1154	MERCURY	Bank 2 Fuel Control Shifted Rich
P1154	OLDSMOBILE	HO2S Transition Time Ratio
P1154	OTHER	Bank 2 Fuel Control Shifted Rich
P1154	SATURN	HO2S Transition Time Ratio
P1154	VOLKSWAGEN	Manifold Switch Over Malfunction
P1155	BMW	O2 Sensor Heater Circuit Intermittent Bank 2 Sensor 2
P1155	BUICK	HO2S Lean Average Bank 2 Sensor 1
P1155	CADILLAC	HO2S Lean Average Bank 2 Sensor 1
P1155	CHEVY	HO2S Lean Average Bank 2 Sensor 1
P1155	CHRYSLER	HO2S Lean Average Bank 2 Sensor 1
P1155	FORD	Alternative Fuel Controller
P1155	GM	HO2S Lean Average Bank 2 Sensor 1
P1155	GMC	HO2S Lean Average Bank 2 Sensor 1
P1155	LEXUS	Air/Fuel Ratio Sensor Heater Circuit Malfunction Bank 1 Sensor 1
P1155	LINCOLN	Alternative Fuel Controller
P1155	MERCURY	Alternative Fuel Controller
P1155	OLDSMOBILE	HO2S Lean Average Bank 2 Sensor 1
P1155	OTHER	Alternative Fuel Controller
P1155	SATURN	HO2S Lean Average Bank 2 Sensor 1
P1155	TOYOTA	Air/Fuel Sensor Heater Circuit Bank 1 Sensor 2
P1155	VOLKSWAGEN	Manifold Absolute Pressure Sensor Circuit Short To B+
P1156	BMW	O2 Sensor Heater Circuit Low Voltage Bank 2 Sensor 2
P1156	BUICK	HO2S Rich Average Bank 2 Sensor 1
P1156	CADILLAC	HO2S Rich Average Bank 2 Sensor 1
P1156	CHEVY	HO2S Rich Average Bank 2 Sensor 1
P1156	CHRYSLER	HO2S Rich Average Bank 2 Sensor 1
P1156	GM	HO2S Rich Average Bank 2 Sensor 1
P1156	GMC	HO2S Rich Average Bank 2 Sensor 1
P1156	OLDSMOBILE	HO2S Rich Average Bank 2 Sensor 1
P1156	OTHER	Fuel Select Switch Malfunction
P1156	SATURN	HO2S Rich Average Bank 2 Sensor 1
P1156	VOLKSWAGEN	Manifold Absolute Pressure Sensor Circuit Open/Short To Ground
P1157	BMW	O2 Sensor Heater Circuit High Voltage Bank 2 Sensor 2
P1157	BUICK	HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157	CADILLAC	HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157	CHEVY	HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157	CHRYSLER	HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157	FORD	Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1157	GM	HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157	GMC	HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157	JAGUAR	Lack Of HO2S22 Switches Sensor Indicates Lean
P1157	LINCOLN	Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1157	MERCURY	Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1157	OLDSMOBILE	HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157	OTHER	Lack Of HO2S22 Switch - Sensor Indicates Lean
P1157	SATURN	HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157	VOLKSWAGEN	Manifold Absolute Pressure Sensor Circuit Power Supply Malfunction
P1158	BMW	Fuel Trim Adaptation Additive Bank 1 Low
P1158	BUICK	HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158	CADILLAC	HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158	CHEVY	HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158	CHRYSLER	HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158	FORD	Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1158	GM	HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158	GMC	HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158	JAGUAR	Lack Of HO2S22 Switches Sensor Indicates Rich
P1158	LINCOLN	Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1158	MERCURY	Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1158	OLDSMOBILE	HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158	OTHER	Lack Of HO2S22 Switch - Sensor Indicates Rich
P1158	SATURN	HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158	VOLKSWAGEN	Manifold Absolute Pressure Sensor Circuit Range Performance
P1159	BMW	Fuel Trim Adaptation Additive Bank 1 High
P1159	BUICK	HO2S Cross Counts Bank 2 Sensor 2
P1159	CADILLAC	HO2S Cross Counts Bank 2 Sensor 2
P1159	CHEVY	HO2S Cross Counts Bank 2 Sensor 2
P1159	CHRYSLER	HO2S Cross Counts Bank 2 Sensor 2
P1159	GM	HO2S Cross Counts Bank 2 Sensor 2
P1159	GMC	HO2S Cross Counts Bank 2 Sensor 2
P1159	OLDSMOBILE	HO2S Cross Counts Bank 2 Sensor 2
P1159	OTHER	Fuel Stepper Motor Malfunction
P1159	SATURN	HO2S Cross Counts Bank 2 Sensor 2
P1160	BMW	Fuel Trim Adaptation Additive Bank 2 Low
P1160	VOLKSWAGEN	Manifold Temperature Sensor Circuit Short To Ground
P1161	BMW	Fuel Trim Adaptation Additive Bank 2 High
P1161	BUICK	HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161	CADILLAC	HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161	CHEVY	HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161	CHRYSLER	HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161	GM	HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161	GMC	HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161	OLDSMOBILE	HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161	SATURN	HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161	VOLKSWAGEN	Manifold Temperature Sensor Circuit Open/Short To B+
P1162	ACURA	HO2S11 Circuit Fault Bank 1 Sensor 1
P1162	BMW	Fuel Trim Adaptation Additive Per Ignition Bank 1 Low
P1162	HONDA	HO2S11 Circuit Fault Bank 1 Sensor 1
P1162	INFINITI	HO2S11 Circuit Fault Bank 1 Sensor 1
P1162	VOLKSWAGEN	Fuel Temperature Sensor Circuit Short To Ground
P1163	ACURA	HO2S11 Slow Response Bank 1 Sensor 1
P1163	BMW	Fuel Trim Adaptation Additive Per Ignition Bank 1 High
P1163	BUICK	HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163	CADILLAC	HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163	CHEVY	HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163	CHRYSLER	HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163	GM	HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163	GMC	HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163	HONDA	HO2S11 Slow Response Bank 1 Sensor 1
P1163	INFINITI	HO2S11 Slow Response Bank 1 Sensor 1
P1163	OLDSMOBILE	HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163	SATURN	HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163	VOLKSWAGEN	Fuel Temperature Sensor Circuit Open/Short To B+
P1164	ACURA	HO2S11 Circuit Fault Bank 1 Sensor 1
P1164	BMW	Fuel Trim Adaptation Additive Per Ignition Bank 2 Low
P1164	BUICK	HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164	CADILLAC	HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164	CHEVY	HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164	CHRYSLER	HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164	GM	HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164	GMC	HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164	HONDA	HO2S11 Circuit Fault Bank 1 Sensor 1
P1164	INFINITI	HO2S11 Circuit Fault Bank 1 Sensor 1
P1164	OLDSMOBILE	HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164	SATURN	HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164	VOLKSWAGEN	Fuel Temperature Sensor Range Performance
P1165	ACURA	HO2S11 Slow Response Bank 1 Sensor 1
P1165	BMW	Fuel Trim Adaptation Additive Per Ignition Bank 2 High
P1165	BUICK	HO2S Cross Counts Bank 2 Sensor 2
P1165	CADILLAC	HO2S Cross Counts Bank 2 Sensor 2
P1165	CHEVY	HO2S Cross Counts Bank 2 Sensor 2
P1165	CHRYSLER	HO2S Cross Counts Bank 2 Sensor 2
P1165	GM	HO2S Cross Counts Bank 2 Sensor 2
P1165	GMC	HO2S Cross Counts Bank 2 Sensor 2
P1165	HONDA	HO2S11 Slow Response Bank 1 Sensor 1
P1165	INFINITI	HO2S11 Slow Response Bank 1 Sensor 1
P1165	NISSAN	Swirl Control Valve Control Vacuum Switch
P1165	OLDSMOBILE	HO2S Cross Counts Bank 2 Sensor 2
P1165	SATURN	HO2S Cross Counts Bank 2 Sensor 2
P1165	VOLKSWAGEN	Bank 1 Long Term Fuel Trim Range 1 Lower Lean Limit Exceeded
P1166	ACURA	HO2S11 Heater Circuit Fault Bank 1 Sensor 1
P1166	HONDA	HO2S11 Heater Circuit Fault Bank 1 Sensor 1
P1166	INFINITI	HO2S11 Heater Circuit Fault Bank 1 Sensor 1
P1166	VOLKSWAGEN	Bank 1 Long Term Fuel Trim Range 2 Upper Rich Limit Exceeded
P1167	ACURA	HO2S11 Heater Circuit VS+ Fault Bank 1 Sensor 1
P1167	HONDA	HO2S11 Heater Circuit VS+ Fault Bank 1 Sensor 1
P1167	INFINITI	HO2S11 Heater Circuit VS+ Fault Bank 1 Sensor 1
P1167	OTHER	Invalid Test,throttle not depressed
P1168	ACURA	HO2S11 Label Circuit Low Voltage Fault Bank 1 Sensor 1
P1168	FORD	Fuel Rail Sensor In-Range Low Failure
P1168	HONDA	HO2S11 Label Circuit Low Voltage Fault Bank 1 Sensor 1
P1168	INFINITI	HO2S11 Label Circuit Low Voltage Fault Bank 1 Sensor 1
P1168	LINCOLN	Fuel Rail Sensor In-Range Low Failure
P1168	MERCURY	Fuel Rail Sensor In-Range Low Failure
P1168	NISSAN	Closed Loop Control Bank 2
P1168	OTHER	Fuel Rail Sensor In-Range Low Failure
P1169	ACURA	HO2S11 Label Circuit High Voltage Fault Bank 1 Sensor 1
P1169	FORD	Fuel Rail Sensor In-Range High Failure
P1169	HONDA	HO2S11 Label Circuit High Voltage Fault Bank 1 Sensor 1
P1169	INFINITI	HO2S11 Label Circuit High Voltage Fault Bank 1 Sensor 1
P1169	LINCOLN	Fuel Rail Sensor In-Range High Failure
P1169	MAZDA	HO2S Bank 1 Sensor 1 Circuit Fixed Bank 1 Sensor 1
P1169	MERCURY	Fuel Rail Sensor In-Range High Failure
P1169	OTHER	Fuel Rail Sensor In-Range High Failure
P1170	BUICK	Bank To Bank Fuel Trim Offset
P1170	CADILLAC	Bank To Bank Fuel Trim Offset
P1170	CHEVY	Bank To Bank Fuel Trim Offset
P1170	CHRYSLER	Bank To Bank Fuel Trim Offset
P1170	FORD	ESO Engine Shut Off Solenoid Fault
P1170	GM	Bank To Bank Fuel Trim Offset
P1170	GMC	Bank To Bank Fuel Trim Offset
P1170	KIA	HO2S11 Circuit Voltage Stuck At Mid-Range
P1170	LINCOLN	ESO Engine Shut Off Solenoid Fault
P1170	MAZDA	HO2S Bank 1 Sensor 1 Circuit Fixed Bank 1 Sensor 1
P1170	MERCURY	ESO Engine Shut Off Solenoid Fault
P1170	OLDSMOBILE	Bank To Bank Fuel Trim Offset
P1170	OTHER	ESO - Engine Shut Off Solenoid Fault
P1170	SATURN	Bank To Bank Fuel Trim Offset
P1171	BUICK	Fuel System Lean During Acceleration
P1171	CADILLAC	Fuel System Lean During Acceleration
P1171	CHEVY	Fuel System Lean During Acceleration
P1171	CHRYSLER	Fuel System Lean During Acceleration
P1171	FORD	Rotor Sensor Fault
P1171	GM	Fuel System Lean During Acceleration
P1171	GMC	Fuel System Lean During Acceleration
P1171	JAGUAR	System Too Lean Banks 1 And 2 (Lean Fuel Fault)
P1171	LINCOLN	Rotor Sensor Fault
P1171	MERCURY	Rotor Sensor Fault
P1171	OLDSMOBILE	Fuel System Lean During Acceleration
P1171	OTHER	Rotor Sensor Fault
P1171	SATURN	Fuel System Lean During Acceleration
P1171	VOLKSWAGEN	Throttle Actuation Potentiometer Signal 2 Range Performance
P1172	FORD	Rotor Control Fault
P1172	JAGUAR	System Too Rich Banks 1 And 2 (Rich Fuel Fault)
P1172	LINCOLN	Rotor Control Fault
P1172	MERCURY	Rotor Control Fault
P1172	OTHER	Rotor Control Fault
P1172	VOLKSWAGEN	Throttle Actuation Potentiometer Signal 2 Signal Too Low
P1173	FORD	Rotor Calibration Fault
P1173	LINCOLN	Rotor Calibration Fault
P1173	MAZDA	HO2S Bank 2 Sensor 1 Circuit Fixed Bank 2 Sensor 1
P1173	MERCURY	Rotor Calibration Fault
P1173	OTHER	Rotor Calibration Fault
P1173	VOLKSWAGEN	Throttle Actuation Potentiometer Signal 2 Signal Too High
P1174	BMW	Fuel Trim Adaptation Additive Bank 1 Malfunction
P1174	FORD	Cam Sensor Fault
P1174	JAGUAR	System Too Lean Banks 1 And 2 (Suspect HO2S)
P1174	LINCOLN	Cam Sensor Fault
P1174	MERCURY	Cam Sensor Fault
P1174	OTHER	Cam Sensor Fault
P1174	VOLKSWAGEN	Fuel Trim Bank 1 Different Injection Times
P1175	BMW	Fuel Trim Adaptation Additive Bank 2 Malfunction
P1175	FORD	Cam Control Fault
P1175	JAGUAR	System Too Rich Banks 1 And 2 (Suspect HO2S)
P1175	LINCOLN	Cam Control Fault
P1175	MERCURY	Cam Control Fault
P1175	OTHER	Cam Control Fault
P1176	BMW	O2 Sensor Slow Response Bank 1
P1176	FORD	Cam Calibration Fault
P1176	JAGUAR	Long Term Fuel Trim Too Lean Banks 1 And 2 (FMFR)
P1176	LINCOLN	Cam Calibration Fault
P1176	MERCURY	Cam Calibration Fault
P1176	OTHER	Cam Calibration Fault
P1176	VOLKSWAGEN	Rear Oxygen Sensor Correction
P1177	BMW	O2 Sensor Slow Response Bank 2
P1177	FORD	Synchronization Fault
P1177	JAGUAR	Long Term Fuel Trim Too Rich Banks 1 And 2 (FMFR)
P1177	LINCOLN	Synchronization Fault
P1177	MERCURY	Synchronization Fault
P1177	OTHER	Synchronization Fault
P1177	VOLKSWAGEN	Oxygen Sensor Correction Behind Catalyst Bank 1 Limit Attained
P1178	BMW	O2 Sensor Signal Circuit Slow Switching From Rich to Lean Bank 1 Sensor 1
P1178	JAGUAR	Long Term Fuel Trim Too Lean Banks 1 And 2 (AMFR)
P1178	OTHER	( open )
P1178	VOLKSWAGEN	Linear Oxygen Sensor Pump Current Open
P1179	BMW	O2 Sensor Signal Circuit Slow Switching From Rich to Lean Bank 2 Sensor 1
P1179	JAGUAR	Long Term Fuel Trim Too Rich Banks 1 And 2 (AMFR)
P1179	VOLKSWAGEN	Linear Oxygen Sensor Pump Current Short To Ground
P1180	BMW	O2 Sensor Signal Circuit Slow Switching From Rich to Lean Bank 1 Sensor 2
P1180	FORD	Fuel Delivery System Malfunction Low
P1180	LINCOLN	Fuel Delivery System Malfunction Low
P1180	MERCURY	Fuel Delivery System Malfunction Low
P1180	OTHER	Fuel Delivery System Malfunction - Low
P1180	VOLKSWAGEN	Linear Oxygen Sensor Pump Current Short To B+
P1181	BMW	O2 Sensor Signal Circuit Slow Switching From Rich to Lean Bank 2 Sensor 2
P1181	FORD	Fuel Delivery System Malfunction High
P1181	LINCOLN	Fuel Delivery System Malfunction High
P1181	MERCURY	Fuel Delivery System Malfunction High
P1181	OTHER	Fuel Delivery System Malfunction - High
P1181	VOLKSWAGEN	Linear Oxygen Sensor Reference Voltage Open
P1182	BMW	O2 Sensor Bank 1 Sensor 2 Open Circuit During Coast Down Fuel Cut-off
P1182	MAZDA	Fuel Shut Off Solenoid Circuit
P1182	OTHER	Fuel Shut Off Solenoid Malfunction
P1182	VOLKSWAGEN	Linear Oxygen Sensor Reference Voltage Short To Ground
P1183	BMW	O2 Sensor Bank 2 Sensor 2 Open Circuit During Coast Down Fuel Cut-off
P1183	FORD	Engine Oil Temperature Circuit Malfunction
P1183	LINCOLN	Engine Oil Temperature Circuit Malfunction
P1183	MERCURY	Engine Oil Temperature Circuit Malfunction
P1183	OTHER	Engine Oil Temperature Circuit Malfunction
P1183	VOLKSWAGEN	Linear Oxygen Sensor Reference Voltage Short To B+
P1184	FORD	Engine Oil Temperature Out Of Self Test Range
P1184	LINCOLN	Engine Oil Temperature Out Of Self Test Range
P1184	MERCURY	Engine Oil Temperature Out Of Self Test Range
P1184	OTHER	Engine Oil Temperature Out Of Self Test Range
P1184	VOLKSWAGEN	Linear Oxygen Sensor Common Ground Wire Open
P1185	BUICK	Engine Oil Temperature Circuit
P1185	CADILLAC	Engine Oil Temperature Circuit
P1185	CHEVY	Engine Oil Temperature Circuit
P1185	CHRYSLER	Engine Oil Temperature Circuit
P1185	FORD	FTS High Fuel Pump Temperature Sensor High
P1185	GM	Engine Oil Temperature Circuit
P1185	GMC	Engine Oil Temperature Circuit
P1185	JAGUAR	O2 Sensor Heater Circuit Open, Hardware Fault
P1185	LINCOLN	FTS High Fuel Pump Temperature Sensor High
P1185	MERCURY	FTS High Fuel Pump Temperature Sensor High
P1185	OLDSMOBILE	Engine Oil Temperature Circuit
P1185	OTHER	FTS High - Fuel Pump Temperature Sensor High
P1185	SATURN	Engine Oil Temperature Circuit
P1185	VOLKSWAGEN	Linear Oxygen Sensor Common Ground Wire Short To Ground
P1186	BMW	O2 Sensor Heater Control Circuit Bank 1 Sensor 2
P1186	BUICK	EOT Circuit Performance
P1186	CADILLAC	EOT Circuit Performance
P1186	CHEVY	EOT Circuit Performance
P1186	CHRYSLER	EOT Circuit Performance
P1186	FORD	FTS Low Fuel Pump Temperature Sensor Low
P1186	GM	EOT Circuit Performance
P1186	GMC	EOT Circuit Performance
P1186	JAGUAR	O2 Sensor Heater Circuit Shorted, Hardware Fault
P1186	LINCOLN	FTS Low Fuel Pump Temperature Sensor Low
P1186	MERCURY	FTS Low Fuel Pump Temperature Sensor Low
P1186	OLDSMOBILE	EOT Circuit Performance
P1186	OTHER	FTS Low - Fuel Pump Temperature Sensor Low
P1186	SATURN	EOT Circuit Performance
P1186	VOLKSWAGEN	Linear Oxygen Sensor Common Ground Short To B+
P1187	BMW	O2 Sensor Heater Control Circuit Bank 2 Sensor 2
P1187	BUICK	EOT Sensor Circuit Low Voltage
P1187	CADILLAC	EOT Sensor Circuit Low Voltage
